% Moku:Go Oscilloscope
% Channel A (Input 2), DC coupling, 1 x probe attenuation
% Channel B (Input 1), DC coupling, 1 x probe attenuation
% Time span 295.4 ms, time offset 3.629 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-06-23 T 17:12:21 +0200
% Time (s), Channel A (Input 2) (V), Channel B (Input 1) (V)
-7.311139200000e-02, -5.978261e+00, 3.358574e-01
-7.282176000000e-02, -5.953835e+00, 3.358574e-01
-7.253212800000e-02, -5.929409e+00, 3.358574e-01
-7.224249600000e-02, -5.904983e+00, 3.358574e-01
-7.195286400000e-02, -5.880557e+00, 3.358574e-01
-7.166323200000e-02, -5.862237e+00, 3.346361e-01
-7.137360000000e-02, -5.831705e+00, 3.346361e-01
-7.108396800000e-02, -5.813385e+00, 3.358574e-01
-7.079433600000e-02, -5.795066e+00, 3.358574e-01
-7.050470400000e-02, -5.770640e+00, 3.346361e-01
-7.021507200000e-02, -5.752320e+00, 3.358574e-01
-6.992544000000e-02, -5.721788e+00, 3.358574e-01
-6.963580800000e-02, -5.697362e+00, 3.358574e-01
-6.934617600000e-02, -5.666829e+00, 3.358574e-01
-6.905654400000e-02, -5.642403e+00, 3.346361e-01
-6.876691200000e-02, -5.630190e+00, 3.358574e-01
-6.847728000000e-02, -5.599658e+00, 3.346361e-01
-6.818764800000e-02, -5.581338e+00, 3.358574e-01
-6.789801600000e-02, -5.550806e+00, 3.370787e-01
-6.760838400000e-02, -5.532487e+00, 3.346361e-01
-6.731875200000e-02, -5.508061e+00, 3.358574e-01
-6.702912000000e-02, -5.483635e+00, 3.358574e-01
-6.673948800000e-02, -5.465315e+00, 3.358574e-01
-6.644985600000e-02, -5.446996e+00, 3.358574e-01
-6.616022400000e-02, -5.416463e+00, 3.358574e-01
-6.587059200000e-02, -5.385931e+00, 3.358574e-01
-6.558096000000e-02, -5.367611e+00, 3.358574e-01
-6.529132800000e-02, -5.343185e+00, 3.358574e-01
-6.500169600000e-02, -5.306546e+00, 3.358574e-01
-6.471206400000e-02, -5.288227e+00, 3.358574e-01
-6.442243200000e-02, -5.257694e+00, 3.358574e-01
-6.413280000000e-02, -5.239375e+00, 3.358574e-01
-6.384316800000e-02, -5.214949e+00, 3.358574e-01
-6.355353600000e-02, -5.190523e+00, 3.358574e-01
-6.326390400000e-02, -5.166097e+00, 3.358574e-01
-6.297427200000e-02, -5.147777e+00, 3.358574e-01
-6.268464000000e-02, -5.123351e+00, 3.370787e-01
-6.239500800000e-02, -5.098925e+00, 3.358574e-01
-6.210537600000e-02, -5.068393e+00, 3.370787e-01
-6.181574400000e-02, -5.056180e+00, 3.358574e-01
-6.152611200000e-02, -5.019541e+00, 3.358574e-01
-6.123648000000e-02, -5.001221e+00, 3.370787e-01
-6.094684800000e-02, -4.982902e+00, 3.358574e-01
-6.065721600000e-02, -4.946263e+00, 3.358574e-01
-6.036758400000e-02, -4.927943e+00, 3.346361e-01
-6.007795200000e-02, -4.909624e+00, 3.358574e-01
-5.978832000000e-02, -4.879091e+00, 3.370787e-01
-5.949868800000e-02, -4.860772e+00, 3.358574e-01
-5.920905600000e-02, -4.836346e+00, 3.358574e-01
-5.891942400000e-02, -4.811920e+00, 3.358574e-01
-5.862979200000e-02, -4.787494e+00, 3.358574e-01
-5.834016000000e-02, -4.750855e+00, 3.358574e-01
-5.805052800000e-02, -4.744748e+00, 3.358574e-01
-5.776089600000e-02, -4.714216e+00, 3.358574e-01
-5.747126400000e-02, -4.683683e+00, 3.358574e-01
-5.718163200000e-02, -4.659257e+00, 3.358574e-01
-5.689200000000e-02, -4.634831e+00, 3.358574e-01
-5.660236800000e-02, -4.616512e+00, 3.358574e-01
-5.631273600000e-02, -4.598192e+00, 3.358574e-01
-5.602310400000e-02, -4.561553e+00, 3.358574e-01
-5.573347200000e-02, -4.543234e+00, 3.358574e-01
-5.544384000000e-02, -4.524914e+00, 3.358574e-01
-5.515420800000e-02, -4.500488e+00, 3.358574e-01
-5.486457600000e-02, -4.476062e+00, 3.358574e-01
-5.457494400000e-02, -4.451636e+00, 3.358574e-01
-5.428531200000e-02, -4.427211e+00, 3.358574e-01
-5.399568000000e-02, -4.402785e+00, 3.358574e-01
-5.370604800000e-02, -4.384465e+00, 3.358574e-01
-5.341641600000e-02, -4.360039e+00, 3.358574e-01
-5.312678400000e-02, -4.335613e+00, 3.358574e-01
-5.283715200000e-02, -4.305081e+00, 3.358574e-01
-5.254752000000e-02, -4.286761e+00, 3.358574e-01
-5.225788800000e-02, -4.262335e+00, 3.358574e-01
-5.196825600000e-02, -4.231803e+00, 3.370787e-01
-5.167862400000e-02, -4.219590e+00, 3.358574e-01
-5.138899200000e-02, -4.195164e+00, 3.358574e-01
-5.109936000000e-02, -4.182951e+00, 3.358574e-01
-5.080972800000e-02, -4.152418e+00, 3.358574e-01
-5.052009600000e-02, -4.127992e+00, 3.358574e-01
-5.023046400000e-02, -4.103566e+00, 3.346361e-01
-4.994083200000e-02, -4.085247e+00, 3.358574e-01
-4.965120000000e-02, -4.054714e+00, 3.358574e-01
-4.936156800000e-02, -4.030288e+00, 3.346361e-01
-4.907193600000e-02, -4.005862e+00, 3.358574e-01
-4.878230400000e-02, -3.981436e+00, 3.346361e-01
-4.849267200000e-02, -3.963117e+00, 3.346361e-01
-4.820304000000e-02, -3.932584e+00, 3.358574e-01
-4.791340800000e-02, -3.908158e+00, 3.346361e-01
-4.762377600000e-02, -3.889839e+00, 3.346361e-01
-4.733414400000e-02, -3.871519e+00, 3.358574e-01
-4.704451200000e-02, -3.840987e+00, 3.358574e-01
-4.675488000000e-02, -3.822667e+00, 3.358574e-01
-4.646524800000e-02, -3.798241e+00, 3.346361e-01
-4.617561600000e-02, -3.779922e+00, 3.358574e-01
-4.588598400000e-02, -3.743283e+00, 3.358574e-01
-4.559635200000e-02, -3.724963e+00, 3.358574e-01
-4.530672000000e-02, -3.700537e+00, 3.358574e-01
-4.501708800000e-02, -3.676111e+00, 3.358574e-01
-4.472745600000e-02, -3.651685e+00, 3.358574e-01
-4.443782400000e-02, -3.627259e+00, 3.346361e-01
-4.414819200000e-02, -3.608940e+00, 3.346361e-01
-4.385856000000e-02, -3.584514e+00, 3.370787e-01
-4.356892800000e-02, -3.553981e+00, 3.346361e-01
-4.327929600000e-02, -3.535662e+00, 3.346361e-01
-4.298966400000e-02, -3.505129e+00, 3.358574e-01
-4.270003200000e-02, -3.492916e+00, 3.358574e-01
-4.241040000000e-02, -3.468490e+00, 3.358574e-01
-4.212076800000e-02, -3.437958e+00, 3.358574e-01
-4.183113600000e-02, -3.413532e+00, 3.346361e-01
-4.154150400000e-02, -3.395212e+00, 3.358574e-01
-4.125187200000e-02, -3.370786e+00, 3.358574e-01
-4.096224000000e-02, -3.352467e+00, 3.358574e-01
-4.067260800000e-02, -3.321935e+00, 3.358574e-01
-4.038297600000e-02, -3.309722e+00, 3.358574e-01
-4.009334400000e-02, -3.273083e+00, 3.346361e-01
-3.980371200000e-02, -3.248657e+00, 3.358574e-01
-3.951408000000e-02, -3.230337e+00, 3.358574e-01
-3.922444800000e-02, -3.212018e+00, 3.358574e-01
-3.893481600000e-02, -3.181485e+00, 3.346361e-01
-3.864518400000e-02, -3.163166e+00, 3.370787e-01
-3.835555200000e-02, -3.138740e+00, 3.358574e-01
-3.806592000000e-02, -3.114314e+00, 3.358574e-01
-3.777628800000e-02, -3.083781e+00, 3.358574e-01
-3.748665600000e-02, -3.065462e+00, 3.346361e-01
-3.719702400000e-02, -3.041036e+00, 3.358574e-01
-3.690739200000e-02, -3.016610e+00, 3.358574e-01
-3.661776000000e-02, -2.979971e+00, 3.358574e-01
-3.632812800000e-02, -2.961651e+00, 3.358574e-01
-3.603849600000e-02, -2.937225e+00, 3.358574e-01
-3.574886400000e-02, -2.912799e+00, 3.358574e-01
-3.545923200000e-02, -2.888373e+00, 3.358574e-01
-3.516960000000e-02, -2.857841e+00, 3.358574e-01
-3.487996800000e-02, -2.839521e+00, 3.358574e-01
-3.459033600000e-02, -2.808989e+00, 3.346361e-01
-3.430070400000e-02, -2.796776e+00, 3.346361e-01
-3.401107200000e-02, -2.778456e+00, 3.346361e-01
-3.372144000000e-02, -2.747924e+00, 3.346361e-01
-3.343180800000e-02, -2.723498e+00, 3.346361e-01
-3.314217600000e-02, -2.705178e+00, 3.334148e-01
-3.285254400000e-02, -2.680752e+00, 3.346361e-01
-3.256291200000e-02, -2.650220e+00, 3.334148e-01
-3.227328000000e-02, -2.631900e+00, 3.321935e-01
-3.198364800000e-02, -2.601368e+00, 3.285296e-01
-3.169401600000e-02, -2.576942e+00, 3.260870e-01
-3.140438400000e-02, -2.558622e+00, 3.236444e-01
-3.111475200000e-02, -2.540303e+00, 3.273083e-01
-3.082512000000e-02, -2.509770e+00, 3.297509e-01
-3.053548800000e-02, -2.497557e+00, 3.321935e-01
-3.024585600000e-02, -2.467025e+00, 3.321935e-01
-2.995622400000e-02, -2.436492e+00, 3.334148e-01
-2.966659200000e-02, -2.424279e+00, 3.334148e-01
